itemid,mean_frequency,missing_count,total_count
226092,1.105263157894737,0.0,105
226094,1.183673469387755,0.0,116
226096,1.1265822784810127,0.0,89
226170,3.0,0.0,3
226183,1.0423728813559323,0.0,123
226184,1.0530973451327434,0.0,119
226253,8.686268453888443,10.0,140622
226272,11.5,0.0,46
226329,66.79876160990712,12.0,43152
226457,74.0359565807327,1151.0,109129
226499,1.9019239793524167,66.0,4053
226504,1.679245283018868,0.0,89
226512,1.0,0.0,14974
226534,3.0220082530949104,0.0,10985
226536,2.136986301369863,0.0,6708
226537,7.097254735050011,0.0,33350
226540,3.7646568491247567,7.0,13549
226707,1.0,9.0,7600
226730,1.0,9.0,7600
226737,1.0,0.0,1
226739,1.0,0.0,2
226744,1.0,0.0,2
226745,1.0,0.0,2
226754,1.0,0.0,1
226764,1.0,0.0,2
226766,1.0,0.0,2
226774,1.0,1.0,2
226778,1.0,0.0,2
226846,2.2404092071611252,24.0,1752
226984,1.0,0.0,1
226993,1.0,0.0,1
227010,1.0,0.0,1
227018,1.0,0.0,1
227023,1.0,0.0,1
227050,1.0,0.0,1
227054,1.0,0.0,1
227066,80.21739130434783,14.0,5535
227073,7.087518834756404,1.0,112890
227187,6.342723004694836,28.0,1351
227242,1.24,0.0,310
227243,1.3015267175572518,0.0,341
227287,4.722001982160555,197.0,9529
227429,2.4320205017534393,1.0,18031
227440,2.057777777777778,0.0,926
227441,1.0114942528735633,0.0,88
227442,7.528293601003764,2.0,120001
227443,7.113607833291489,0.0,113334
227444,1.215439856373429,0.0,677
227445,2.397358032189493,0.0,15789
227446,1.1028466483011938,0.0,1201
227447,2.0789473684210527,0.0,158
227448,1.5,0.0,27
227449,1.8076923076923077,0.0,94
227450,1.125,0.0,18
227451,2.2551020408163267,0.0,221
227452,1.7592592592592593,0.0,95
227453,1.0,0.0,3
227454,2.0794137695978185,0.0,6101
227455,2.068427890861845,0.0,4776
227456,2.147143945163747,0.0,14096
227457,6.159747634069401,0.0,97632
227460,5.409090909090909,0.0,119
227461,3.7077464788732395,0.0,1053
227462,4.22378716744914,0.0,2699
227463,1.5743362831858407,0.0,1779
227464,5.953911912283962,0.0,32038
227465,4.928686289589597,0.0,70495
227466,5.511237934192912,0.0,78221
227468,2.5867747656447935,0.0,10210
227469,1.2777777777777777,0.0,92
227470,1.1261261261261262,2.0,250
227516,1.92578125,2.0,2465
227537,2.9285714285714284,0.0,3936
227538,2.9301115241635687,4.0,3941
227543,35.333333333333336,0.0,3710
227546,33.924731182795696,0.0,3155
227547,31.958333333333332,0.0,2301
227549,25.647058823529413,0.0,436
227579,3.7666989351403677,5.0,3891
227580,3.850206611570248,9.0,3727
227581,4.239583333333333,17.0,407
227582,3.7653688524590163,69.0,3675
227596,9.916666666666666,79.0,119
227597,106.0,0.0,106
227602,10.517241379310345,56.0,305
227603,20.333333333333332,0.0,244
227614,9.961538461538462,57.0,259
227615,20.333333333333332,0.0,244
227627,26.865168539325843,2.0,4782
227628,27.818713450292396,0.0,4757
227632,34.71584699453552,2.0,6353
227634,35.96470588235294,2.0,6114
227645,4.5,0.0,9
227646,4.5,0.0,9
227647,2.8,0.0,14
227686,1.6766334440753046,2.0,1514
227716,4.673469387755102,0.0,229
227717,4.519230769230769,1.0,235
227775,9.333333333333334,6.0,56
227861,1.8421052631578947,0.0,70
227867,1.6666666666666667,1.0,50
227873,1.8055555555555556,1.0,65
227919,1.125,0.0,36
227926,1.0,0.0,22
227933,1.0526315789473684,0.0,20
227989,73.5,4.0,147
227990,6.333333333333333,0.0,19
227991,9.0,12.0,18
228004,102.58891454965358,20357.0,88842
228005,105.18870056497175,252.0,93092
228006,105.46907817969661,186.0,90387
228145,1.0,0.0,1
228146,1.5,2.0,3
228151,68.8409090909091,0.0,3029
228152,68.86363636363636,0.0,3030
228154,69.45454545454545,8.0,3056
228158,68.54545454545455,0.0,3016
228159,68.52272727272727,0.0,3015
228162,13.6,0.0,612
228176,14.818181818181818,0.0,326
228177,29.194444444444443,0.0,1051
228178,17.852941176470587,0.0,607
228179,19.227272727272727,0.0,423
228180,20.59090909090909,0.0,453
228182,26.818181818181817,0.0,885
228184,24.291666666666668,0.0,583
228185,27.458333333333332,0.0,659
228189,9.0,0.0,27
228192,38.0,0.0,114
228198,28.333333333333332,0.0,170
228204,4.0,0.0,4
228368,6.239473684210527,0.0,2371
228369,6.595238095238095,0.0,1939
228370,1.3650190114068441,6.0,359
228374,6.347368421052631,0.0,1809
228375,5.856756756756757,0.0,2167
228377,1.3310344827586207,7.0,386
228378,2.4,7.0,48
228379,2.8,0.0,70
228381,4.956140350877193,0.0,565
228382,4.6891891891891895,0.0,694
228610,16.2241054613936,3163.0,8615
228611,13.724324324324325,1387.0,2539
228613,8.818181818181818,152.0,291
228614,21.55,365.0,431
228615,12.777777777777779,65.0,115
228616,11.25,45.0,45
228617,13.5,27.0,27
228618,11.0,13.0,22
228619,13.0,13.0,13
228620,14.212752525252526,216.0,22513
228621,12.8424543946932,43.0,7744
228622,12.377224199288257,0.0,3478
228623,12.217054263565892,1.0,1576
228624,15.323076923076924,0.0,996
228625,15.514285714285714,0.0,543
228626,16.294117647058822,0.0,277
228627,20.0,0.0,240
228628,9.375,0.0,75
228629,10.0,0.0,20
228723,14.146875,143.0,22635
228724,12.927152317880795,43.0,7808
228725,12.397163120567376,0.0,3496
228726,12.091603053435115,1.0,1584
228727,14.579710144927537,2.0,1006
228728,15.194444444444445,0.0,547
228729,16.294117647058822,0.0,277
228730,20.0,0.0,240
228731,9.375,0.0,75
228732,10.0,0.0,20
228866,34.95783132530121,1.0,5803
228872,207.22222222222223,0.0,1865
228873,241.3,2.0,2413
228878,2.5321637426900585,5.0,433
229160,2.171875,1.0,139
229240,1.0,1.0,2
229247,113.28966789667896,18.0,61403
229248,113.23148148148148,10.0,61145
229255,210.0,0.0,630
229262,1.0,0.0,1
229263,211.0,0.0,633
229270,153.76470588235293,1.0,2614
229277,154.64705882352942,1.0,2629
229280,151.64705882352942,4.0,2578
229300,10.06247129076711,21.0,21906
229301,12.570469798657719,1.0,3746
229302,10.95,0.0,438
229355,1.9191919191919191,0.0,190
229356,1.4013417521704814,0.0,3551
229357,1.6988916256157636,17.0,5518
229358,1.6988916256157636,43.0,5518
229359,1.6988916256157636,142.0,5518
229360,1.6958268933539413,1635.0,5486
229361,1.6988916256157636,1716.0,5518
229363,163.46153846153845,1.0,2125
229364,163.46153846153845,1.0,2125
229365,163.46153846153845,1.0,2125
229371,3.1258229700073152,305.0,4273
229374,2.7333333333333334,0.0,41
229626,7.583333333333333,0.0,182
229627,7.583333333333333,24.0,182
229660,16.01818181818182,1.0,14977
229661,15.927194860813705,15.0,14876
229663,16.207264957264957,59.0,15170
229664,15.903536977491962,47.0,14838
229665,15.836363636363636,87.0,14807
229668,26.5,0.0,53
229669,26.5,0.0,53
229671,28.0,0.0,56
229677,27.5,0.0,55
229678,27.5,0.0,55
229761,1.5769230769230769,0.0,205
229823,194.6,0.0,973
229827,163.6,0.0,818
229829,195.2,0.0,976
